"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\WILLS-DESKTOP\Memory\Available MBytes"
"04/24/2018 11:09:28.380","23742"
"04/24/2018 11:09:33.382","23710"
"04/24/2018 11:09:38.386","23679"
"04/24/2018 11:09:43.371","23647"
"04/24/2018 11:09:48.374","23615"
"04/24/2018 11:09:53.375","23582"
"04/24/2018 11:10:04.246","23523"
"04/24/2018 11:10:08.375","23496"
"04/24/2018 11:10:13.378","23457"
"04/24/2018 11:10:18.379","23424"
"04/24/2018 11:10:23.382","23392"
"04/24/2018 11:10:28.383","23347"
"04/24/2018 11:10:33.371","23293"
"04/24/2018 11:10:38.382","23195"
"04/24/2018 11:10:48.370","23133"
"04/24/2018 11:10:53.384","23175"
"04/24/2018 11:10:58.371","23143"
"04/24/2018 11:11:03.385","23114"
"04/24/2018 11:11:08.383","23080"
"04/24/2018 11:11:19.058","23014"
"04/24/2018 11:11:23.375","22973"
"04/24/2018 11:11:28.373","22941"
"04/24/2018 11:11:33.372","22913"
"04/24/2018 11:11:38.370","22880"
"04/24/2018 11:11:48.746","22815"
"04/24/2018 11:11:53.376","22788"
"04/24/2018 11:11:58.373","22756"
"04/24/2018 11:12:03.374","22726"
"04/24/2018 11:12:08.371","22695"
"04/24/2018 11:12:13.406","22664"
"04/24/2018 11:12:23.370","22602"
"04/24/2018 11:12:28.371","22577"
"04/24/2018 11:12:33.375","22548"
"04/24/2018 11:12:38.376","22515"
"04/24/2018 11:12:43.380","22480"
"04/24/2018 11:12:48.381","22447"
"04/24/2018 11:12:53.385","22415"
"04/24/2018 11:12:58.394","22383"
"04/24/2018 11:13:08.308","22322"
"04/24/2018 11:13:08.374","22322"
"04/24/2018 11:13:13.377","22290"
"04/24/2018 11:13:18.382","22257"
"04/24/2018 11:13:23.382","22227"
"04/24/2018 11:13:28.371","22197"
"04/24/2018 11:13:33.371","22166"
"04/24/2018 11:13:38.380","22135"
"04/24/2018 11:13:48.683","22068"
"04/24/2018 11:13:53.376","22169"
"04/24/2018 11:13:58.383","21996"
"04/24/2018 11:14:03.382","22026"
"04/24/2018 11:14:08.385","21773"
"04/24/2018 11:14:13.376","22185"
"04/24/2018 11:14:18.376","22162"
"04/24/2018 11:14:23.383","22492"
"04/24/2018 11:14:33.371","22433"
"04/24/2018 11:14:38.375","22407"
"04/24/2018 11:14:43.374","22375"
"04/24/2018 11:14:48.372","22343"
"04/24/2018 11:14:53.375","22311"
"04/24/2018 11:15:03.371","22256"
"04/24/2018 11:15:08.378","22224"
"04/24/2018 11:15:13.382","22186"
"04/24/2018 11:15:18.373","22156"
"04/24/2018 11:15:23.377","22124"
"04/24/2018 11:15:28.378","22096"
"04/24/2018 11:15:33.383","22063"
"04/24/2018 11:15:38.384","22033"
"04/24/2018 11:15:48.621","21970"
"04/24/2018 11:15:53.376","21939"
"04/24/2018 11:15:58.379","21908"
"04/24/2018 11:16:03.386","21876"
"04/24/2018 11:16:08.371","21843"
"04/24/2018 11:16:13.371","21811"
"04/24/2018 11:16:18.375","21780"
"04/24/2018 11:16:23.381","21747"
"04/24/2018 11:16:33.746","21689"
"04/24/2018 11:16:38.376","21659"
"04/24/2018 11:16:43.380","21628"
"04/24/2018 11:16:48.380","21597"
"04/24/2018 11:16:53.385","21566"
"04/24/2018 11:16:58.385","21535"
"04/24/2018 11:17:03.373","21504"
"04/24/2018 11:17:08.388","21473"
"04/24/2018 11:17:18.870","21216"
"04/24/2018 11:17:23.375","21625"
"04/24/2018 11:17:28.379","21507"
"04/24/2018 11:17:33.383","21848"
"04/24/2018 11:17:38.383","22158"
"04/24/2018 11:17:43.372","22084"
"04/24/2018 11:17:48.377","22072"
"04/24/2018 11:17:53.378","22382"
"04/24/2018 11:17:58.383","22252"
"04/24/2018 11:18:03.386","22236"
"04/24/2018 11:18:08.378","22249"
"04/24/2018 11:18:13.386","22240"
"04/24/2018 11:18:18.382","22202"
"04/24/2018 11:18:23.385","22191"
"04/24/2018 11:18:28.376","22212"
"04/24/2018 11:18:33.375","22208"
"04/24/2018 11:18:38.376","22187"
"04/24/2018 11:18:43.380","22154"
"04/24/2018 11:18:48.374","22117"
"04/24/2018 11:18:53.382","22155"
"04/24/2018 11:18:58.375","22156"
"04/24/2018 11:19:03.371","22128"
"04/24/2018 11:19:08.385","22094"
"04/24/2018 11:19:13.375","22067"
"04/24/2018 11:19:18.372","22068"
"04/24/2018 11:19:23.386","22613"
"04/24/2018 11:19:28.371","27228"
"04/24/2018 11:19:33.384","26724"
"04/24/2018 11:19:38.381","26145"
"04/24/2018 11:19:43.385","25271"
"04/24/2018 11:19:48.383","24120"
"04/24/2018 11:19:53.378","23424"
"04/24/2018 11:20:03.933","22373"
"04/24/2018 11:20:08.386","22353"
"04/24/2018 11:20:13.385","22311"
"04/24/2018 11:20:18.374","22280"
"04/24/2018 11:20:23.378","22249"
"04/24/2018 11:20:33.621","22181"
"04/24/2018 11:20:38.371","22151"
"04/24/2018 11:20:43.380","22118"
"04/24/2018 11:20:48.375","22085"
"04/24/2018 11:20:58.558","22018"
"04/24/2018 11:21:03.371","21987"
"04/24/2018 11:21:08.380","21952"
"04/24/2018 11:21:18.746","21884"
"04/24/2018 11:21:23.385","21851"
"04/24/2018 11:21:28.376","21821"
"04/24/2018 11:21:33.382","21788"
"04/24/2018 11:21:38.376","21757"
"04/24/2018 11:21:43.393","21723"
"04/24/2018 11:21:53.183","21659"
"04/24/2018 11:21:53.374","21658"
"04/24/2018 11:21:58.378","21625"
"04/24/2018 11:22:03.383","21594"
"04/24/2018 11:22:08.373","21560"
"04/24/2018 11:22:13.378","21529"
"04/24/2018 11:22:18.378","21496"
"04/24/2018 11:22:23.397","21462"
"04/24/2018 11:22:33.558","21403"
"04/24/2018 11:22:38.378","21368"
"04/24/2018 11:22:43.382","21327"
"04/24/2018 11:22:48.382","21295"
"04/24/2018 11:22:53.371","21263"
"04/24/2018 11:22:58.386","21231"
"04/24/2018 11:23:03.374","21199"
"04/24/2018 11:23:08.376","21167"
"04/24/2018 11:23:18.684","21099"
"04/24/2018 11:23:23.375","21067"
"04/24/2018 11:23:28.379","21033"
"04/24/2018 11:23:33.379","21003"
"04/24/2018 11:23:38.385","20967"
"04/24/2018 11:23:43.385","20937"
"04/24/2018 11:23:48.374","20902"
"04/24/2018 11:23:53.387","20872"
"04/24/2018 11:24:03.371","20803"
"04/24/2018 11:24:08.370","20769"
"04/24/2018 11:24:13.378","20731"
"04/24/2018 11:24:18.385","20698"
"04/24/2018 11:24:23.372","20665"
"04/24/2018 11:24:33.496","20599"
"04/24/2018 11:24:38.371","20566"
"04/24/2018 11:24:43.371","20533"
"04/24/2018 11:24:48.370","20500"
"04/24/2018 11:24:58.433","20436"
"04/24/2018 11:25:03.372","20407"
"04/24/2018 11:25:08.371","20374"
"04/24/2018 11:25:13.371","20343"
"04/24/2018 11:25:18.378","20300"
"04/24/2018 11:25:28.121","20181"
"04/24/2018 11:25:28.372","20180"
"04/24/2018 11:25:33.378","20145"
"04/24/2018 11:25:38.379","20112"
"04/24/2018 11:25:43.380","20078"
"04/24/2018 11:25:48.381","20046"
"04/24/2018 11:25:53.372","20016"
"04/24/2018 11:25:58.386","19983"
"04/24/2018 11:26:08.496","19916"
"04/24/2018 11:26:13.371","19884"
"04/24/2018 11:26:18.372","19852"
"04/24/2018 11:26:23.373","19818"
"04/24/2018 11:26:28.375","19785"
"04/24/2018 11:26:33.376","19746"
"04/24/2018 11:26:38.382","19721"
"04/24/2018 11:26:48.371","19661"
"04/24/2018 11:26:53.373","19629"
"04/24/2018 11:26:58.374","19594"
"04/24/2018 11:27:03.377","19566"
"04/24/2018 11:27:08.379","19533"
"04/24/2018 11:27:13.382","19497"
"04/24/2018 11:27:18.384","19485"
"04/24/2018 11:27:29.246","19438"
"04/24/2018 11:27:33.373","19408"
"04/24/2018 11:27:38.375","19376"
"04/24/2018 11:27:43.378","19342"
"04/24/2018 11:27:48.380","19301"
"04/24/2018 11:27:53.383","19270"
"04/24/2018 11:27:58.385","19235"
"04/24/2018 11:28:08.433","19169"
"04/24/2018 11:28:13.373","19134"
"04/24/2018 11:28:18.376","19100"
"04/24/2018 11:28:23.378","19063"
"04/24/2018 11:28:28.381","19032"
"04/24/2018 11:28:33.375","19001"
"04/24/2018 11:28:38.377","18966"
"04/24/2018 11:28:43.400","18934"
"04/24/2018 11:28:53.559","18872"
"04/24/2018 11:28:58.380","18839"
"04/24/2018 11:29:03.384","18805"
"04/24/2018 11:29:08.372","18772"
"04/24/2018 11:29:13.375","18738"
"04/24/2018 11:29:18.378","18705"
"04/24/2018 11:29:23.381","18626"
"04/24/2018 11:29:33.934","18080"
"04/24/2018 11:29:38.380","17996"
"04/24/2018 11:29:43.384","18549"
"04/24/2018 11:29:48.371","19113"
"04/24/2018 11:29:53.375","18283"
"04/24/2018 11:29:58.378","19870"
"04/24/2018 11:30:03.393","18439"
"04/24/2018 11:30:13.121","18276"
"04/24/2018 11:30:13.371","18275"
"04/24/2018 11:30:18.375","18237"
"04/24/2018 11:30:23.376","18202"
"04/24/2018 11:30:28.379","18170"
"04/24/2018 11:30:33.380","18136"
"04/24/2018 11:30:38.383","18104"
"04/24/2018 11:30:43.402","18072"
"04/24/2018 11:30:53.496","18008"
"04/24/2018 11:30:58.380","17976"
"04/24/2018 11:31:03.383","17943"
"04/24/2018 11:31:08.378","17911"
"04/24/2018 11:31:13.381","17880"
"04/24/2018 11:31:18.385","17845"
"04/24/2018 11:31:23.380","17808"
"04/24/2018 11:31:33.871","17739"
"04/24/2018 11:31:38.381","17711"
"04/24/2018 11:31:43.381","17677"
"04/24/2018 11:31:48.381","17644"
"04/24/2018 11:31:53.375","17611"
"04/24/2018 11:31:58.379","17580"
"04/24/2018 11:32:03.383","17554"
"04/24/2018 11:32:14.246","17484"
"04/24/2018 11:32:18.382","17456"
"04/24/2018 11:32:23.370","17424"
"04/24/2018 11:32:28.374","17400"
"04/24/2018 11:32:33.379","17374"
"04/24/2018 11:32:38.376","17339"
